"Town of Chelmsford November 8, 2016 State Election Page 1 of 5","","","","","","","","","","",""
"CANDIDATE                     PRECINCT: ","1","2","3","4","5","6","7","8","9","TOTA","L"
"ELECTORS OF PRESIDENT AND VICE PRESIDENT","","","","","","","","","","",""
"VOTE FOR ONE","","","","","","","","","","",""
"CLINTON and KAINE ","1167","1133","1108","1048","1201","1261","1292","1239","1256","10705",""
"JOHNSON and WELD ","116","109","110","79","143","137","155","108","136","1093",""
"STEIN and BARAKA ","32","36","24","23","32","18","29","16","27","237",""
"TRUMP and PENCE ","822","689","974","832","799","884","934","818","909","7661",""
"All Others ","52","33","42","42","48","50","53","48","77","445",""
"Blanks 32 29 40 34 21 47 26 34 38 301","","","","","","","","","","",""
"Totals ","2221","2029","2298","2058","2244","2397","2489","2263","2443","20442",""
"REPRESENTATIVE IN CONGRESS","","","","","","","","","","",""
"THIRD DISTRICT","","","","","","","","","","",""
"VOTE FOR ONE","","","","","","","","","","",""
"NICOLA  S.  TSONGAS ","1357","1381","1401","1302","1416","1532","1526","1461","1468","12844",""
"ANN WOFFORD ","783","565","805","671","745","770","898","723","861","6821",""
"All Others ","0","6","0","2","2","2","3","2","5","22",""
"Blanks 81 77 92 83 81 93 62 77 109 755","","","","","","","","","","",""
"Totals ","2221","2029","2298","2058","2244","2397","2489","2263","2443","20442",""
"COUNCILLOR ","","","","","","","","","","",""
"THIRD DISTRICT","","","","","","","","","","",""
"VOTE FOR ONE","","","","","","","","","","",""
"MARILYN  M.  PETITTO  DEVANEY ","1488","1478","1574","1428","1526","1639","1683","1546","1612","13974",""
"All Others ","27","18","28","31","29","34","24","15","34","240",""
"Blanks 706 533 696 599 689 724 782 702 797 6228","","","","","","","","","","",""
"Totals ","2221","2029","2298","2058","2244","2397","2489","2263","2443","20442",""
"November 8, 2016 State Election Official Results","","","","","","","","","","",""
"In accordance with the warrant, the polls were opened at 7:00 am and closed at 8:00 pm.  ","","","","","","","","","","",""
"Registered Chelmsford voters cast their ballots in their respective precincts.  The official results are as follows:","","","","","","","","","","",""
"   STATE   ELECTION      ","","","","","","","","","","",""
"Town of Chelmsford November 8, 2016 State Election Page 2 of 5","","","","","","","","","","",""
"CANDIDATE                     PRECINCT: ","1","2","3","4","5","6","7","8","9","T",""
"OTAL","","","","","","","","","","",""
"November 8, 2016 State Election Official Results","","","","","","","","","","",""
"In accordance with the warrant, the polls were opened at 7:00 am and closed at 8:00 pm.  ","","","","","","","","","","",""
"Registered Chelmsford voters cast their ballots in their respective precincts.  The official results are as follows:","","","","","","","","","","",""
"SENATOR IN GENERAL COURT","","","","","","","","","","",""
"THIRD MIDDLESEX DISTRICT","","","","","","","","","","",""
"VOTE FOR ONE","","","","","","","","","","",""
"MICHAEL  J.  BARRETT ","1372","1394","1480","1315","1377","1530","1555","1435","1448","12906",""
"All Others ","2","13","26","30","33","29","26","16","29","204",""
"Blanks 847 622 792 713 834 838 908 812 966 7332","","","","","","","","","","",""
"Totals ","2221","2029","2298","2058","2244","2397","2489","2263","2443","20442",""
"REPRESENTATIVE IN GENERAL COURT","","","","","","","","","","",""
"FOURTEENTH MIDDLESEX DISTRICT","","","","","","","","","","",""
"VOTE FOR ONE","","","","","","","","","","",""
"CORY ATKINS ","1027","1113","2140","","","","","","","",""
"HELEN BRADY ","948","1070","2018","","","","","","","",""
"DANIEL L. FACTOR ","93","90","183","","","","","","","",""
"All Others ","0","9","9","","","","","","","",""
"Blanks 153 161 314","","","","","","","","","","",""
"Totals ","2221","2443","4664","","","","","","","",""
"REPRESENTATIVE IN GENERAL COURT","","","","","","","","","","",""
"SIXTEENTH MIDDLESEX DISTRICT","","","","","","","","","","",""
"VOTE FOR ONE","","","","","","","","","","",""
"THOMAS A. GOLDEN, JR. ","1518","1626","1728","4872","","","","","","",""
"All Others ","17","27","32","76","","","","","","",""
"Blanks 494 645 637 1776","","","","","","","","","","",""
"Totals ","2029","2298","2397","6724","","","","","","",""
"Town of Chelmsford November 8, 2016 State Election Page 3 of 5","","","","","","","","","","",""
"CANDIDATE                     PRECINCT: ","1","2","3","4","5","6","7","8","9","T",""
"OTAL","","","","","","","","","","",""
"November 8, 2016 State Election Official Results","","","","","","","","","","",""
"In accordance with the warrant, the polls were opened at 7:00 am and closed at 8:00 pm.  ","","","","","","","","","","",""
"Registered Chelmsford voters cast their ballots in their respective precincts.  The official results are as follows:","","","","","","","","","","",""
"REPRESENTATIVE IN GENERAL COURT","","","","","","","","","","",""
"SEVENTEENTH MIDDLESEX DISTRICT","","","","","","","","","","",""
"VOTE FOR ONE","","","","","","","","","","",""
"DAVID M. NANGLE ","1474","1474","","","","","","","","",""
"All Others ","26","26","","","","","","","","",""
"Blanks 558 558","","","","","","","","","","",""
"Totals ","2058","2058","","","","","","","","",""
"REPRESENTATIVE IN GENERAL COURT","","","","","","","","","","",""
"SECOND MIDDLESEX DISTRICT","","","","","","","","","","",""
"VOTE FOR ONE","","","","","","","","","","",""
"JAMES ARCIERO","","","","","","","","","","",""
"1557 1706 1586","","","","","","","","","","",""
"4849","","","","","","","","","","",""
"All Others ","35","24","9","68","","","","","","",""
"Blanks 652 759 668 2079","","","","","","","","","","",""
"Totals ","2244","2489","2263","6996","","","","","","",""
"SHERIFF","","","","","","","","","","",""
"MIDDLESEX COUNTY","","","","","","","","","","",""
"VOTE FOR ONE","","","","","","","","","","",""
"PETER  J.  KOUTOUJIAN ","1564","1483","1595","1473","1545","1689","1673","1586","1654","14262",""
"All Others ","21","13","23","25","36","26","26","12","25","207",""
"Blanks 636 533 680 560 663 682 790 665 764 5973","","","","","","","","","","",""
"Totals ","2221","2029","2298","2058","2244","2397","2489","2263","2443","20442",""
"Town of Chelmsford November 8, 2016 State Election Page 4 of 5","","","","","","","","","","",""
"CANDIDATE                     PRECINCT: ","1","2","3","4","5","6","7","8","9","TOTA","L"
"November 8, 2016 State Election Official Results","","","","","","","","","","",""
"In accordance with the warrant, the polls were opened at 7:00 am and closed at 8:00 pm.  ","","","","","","","","","","",""
"Registered Chelmsford voters cast their ballots in their respective precincts.  The official results are as follows:","","","","","","","","","","",""
"QUESTION 1","","","","","","","","","","",""
"Slot machine gaming establishment","","","","","","","","","","",""
"YES ","806","864","972","883","880","929","840","879","875","7928",""
"NO ","1309","1094","1235","1115","1281","1368","1583","1293","1482","11760",""
"Blanks 106 71 91 60 83 100 66 91 86 754","","","","","","","","","","",""
"Totals ","2221","2029","2298","2058","2244","2397","2489","2263","2443","20442",""
"QUESTION 2","","","","","","","","","","",""
"New charter schools","","","","","","","","","","",""
"YES ","902","787","897","776","918","845","927","862","932","7846",""
"NO ","1259","1208","1357","1247","1288","1499","1531","1364","1471","12224",""
"Blanks 60 34 44 35 38 53 31 37 40 372","","","","","","","","","","",""
"Totals ","2221","2029","2298","2058","2244","2397","2489","2263","2443","20442",""
"QUESTION 3","","","","","","","","","","",""
"Prohibit confinement of pigs, calves, and hens","","","","","","","","","","",""
"YES ","1646","1569","1698","1456","1632","1767","1871","1687","1782","15108",""
"NO ","523","421","558","561","569","568","575","536","615","4926",""
"Blanks 52 39 42 41 43 62 43 40 46 408","","","","","","","","","","",""
"Totals ","2221","2029","2298","2058","2244","2397","2489","2263","2443","20442",""
"QUESTION 4","","","","","","","","","","",""
"Marijuana","","","","","","","","","","",""
"YES ","1070","1059","1058","1015","1159","1203","1074","1048","1225","9911",""
"NO ","1107","946","1208","1021","1051","1151","1385","1184","1189","10242",""
"Blanks 44 24 32 22 34 43 30 31 29 289","","","","","","","","","","",""
"Totals ","2221","2029","2298","2058","2244","2397","2489","2263","2443","20442",""
"Town of Chelmsford November 8, 2016 State Election Page 5 of 5","","","","","","","","","","",""
"CANDIDATE                     PRECINCT: ","1","2","3","4","5","6","7","8","9","TOTA","L"
"November 8, 2016 State Election Official Results","","","","","","","","","","",""
"In accordance with the warrant, the polls were opened at 7:00 am and closed at 8:00 pm.  ","","","","","","","","","","",""
"Registered Chelmsford voters cast their ballots in their respective precincts.  The official results are as follows:","","","","","","","","","","",""
"Total Ballots Voted ","2,221","2,029","2,298","2,058","2,244","2,397","2,489","2,263","2,443","20,442",""
"Total Registered ","2,799","2,678","2,800","2,580","2,859","2,942","2,864","2,715","2,874","25,111",""
"Percentage 79.3% 75.8% 82.1% 79.8% 78.5% 81.5% 86.9% 83.4% 85.0% 81.4%","","","","","","","","","","",""
"A true copy attest:","","","","","","","","","","",""
"Onorina Z. Maloney, Town Clerk","","","","","","","","","","",""
"BALLOTS VOTED","","","","","","","","","","",""
